athlete_id,Name,Team,City,State
1,Alice McKennis,Alpine,Minturn,Colorado
2,Breezy Johnson,Alpine,Jackson Hole,Wyoming
3,Bryce Bennett,Alpine,Tahoe City,California
4,Jacqueline Wiles ,Alpine,Portland,Oregon
5,Laurenne Ross,Alpine,Bend,Oregon
6,Mikaela Shiffrin,Alpine,Edwards,Colorado
7,Steven Nyman,Alpine,Jackson,Wyoming
8,Ted Ligety,Alpine,Park City,Utah
9,Tommy Ford,Alpine,Bend,Oregon
10,Travis Ganong,Alpine,Tahoe City,California
11,AJ Hurt,Alpine,Carnelian Bay,California
12,Alice Merryweather,Alpine,Hingham,Massachusetts
13,Ben Ritchie,Alpine,Waitsfield,Vermont
14,Brian McLaughlin,Alpine,Waitsfield,Vermont
15,Jared Goldberg,Alpine,Holladay,Utah
16,Keely Cashman,Alpine,Strawberry,California
17,Kyle Negomir,Alpine,Littleton,Colorado
18,Luke Winters,Alpine,Gresham,Oregon
19,Nina O’Brien,Alpine,Denver,Colorado
20,Paula Moltzan,Alpine,Burlington,Vermont
21,River Radamus,Alpine,Edwards,Colorado
22,Ryan Cochran-Siegle,Alpine,Starksboro,Vermont
23,Sam Morse,Alpine,Sugarloaf,Maine
24,Abi Jewett,Alpine,Ripton,Vermont
25,Bridger Gile,Alpine,Aspen,Colorado
26,Cooper Cornelius,Alpine,Glenwood Springs,Colorado
27,Galena Wardle,Alpine,Aspen,Colorado
28,George Steffey,Alpine,Springfield,New Hampshire
29,Katie Hensien,Alpine,Park City,Utah
30,Ainsley Proffit,Alpine,St. Louis,Missouri
31,Alix Wilkinson,Alpine,Mammoth Lakes,California
32,Emma Resnick,Alpine,Vail,Colorado
33,Isaiah Nelson,Alpine,Wayzata,Minnesota
34,Jack Smith,Alpine,Sun Valley,Idaho
35,Jacob Dilling,Alpine,Vail,Colorado
36,Kellen Kinsella,Alpine,Edwards,Colorado
37,Lauren Macuga,Alpine,Park City,Utah
38,Zoe Zimmermann,Alpine,Gilford,New Hampshire
39,Aaron Blunck,Freeski,Crested BUtahte,Colorado
40,Abigale Hansen,Freeski,Bishop,California
41,Alex Ferreira,Freeski,Aspen,Colorado
42,Annalisa Drew,Freeski,Breckenridge,Colorado
43,Birk Irving,Freeski,Winter Park,Colorado
44,Brita Sigourney,Freeski,Park City,Utah
45,Carly Margulies,Freeski,Mammoth Lakes,California
46,David Wise,Freeski,Reno,Nevada
47,Devin Logan,Freeski,Park City,Utah
48,Hunter Hess,Freeski,Bend,Oregon
49,Lyman Currier,Freeski,Boulder,Colorado
50,Taylor Seaton,Freeski,Avon,Colorado
51,Torin Yater-Wallace,Freeski,Basalt,Colorado
52,Alex Hall,Freeski,Park City,Utah
53,Caroline Claire,Freeski,Manchester Center,Vermont
54,Colby Stevenson,Freeski,Park City,Utah
55,Darian Stevens,Freeski,Park City,Utah
56,Joss Christensen,Freeski,Park City,Utah
57,Julia Krass,Freeski,Park City,Utah
58,Kiernan Fagan,Freeski,Brownfield,Maine
59,Mac Forehand,Freeski,Winhall,Vermont
60,Maggie Voisin,Freeski,Whitefish,Montana
61,Nick Goepper,Freeski,Lawrenceburg,Indiana
62,Willie Borm,Freeski,Chaska,Minnesota
63,Cassidy Jarrell,Freeski,Aspen,Colorado
64,Connor Ladd,Freeski,Lakewood,Colorado
65,Dylan Ladd,Freeski,Lakewood,Colorado
66,Hanna Faulhaber,Freeski,Carbondale,Colorado
67,Hunter Carey,Freeski,Winter Park,Colorado
68,Jaxin Hoerter,Freeski,Breckenridge,Colorado
69,Sammy Schuiling,Freeski,Steamboat Springs,Colorado
70,Svea Irving,Freeski,Winter Park,Colorado
71,Cody LaPlante,Freeski,Truckee,California
72,Deven Fagan,Freeski,Brownfield,Maine
73,Grace Henderson,Freeski,Madbury,New Hampshire
74,Hunter Henderson,Freeski,Madbury,New Hampshire
75,Marin Hamill,Freeski,Park City,Utah
76,Rell Harwood,Freeski,Park City,Utah
77,Richard Thomas,Freeski,Orono,Minnesota
78,Tyler Wallasch,Freeski,Mammoth Lakes,California
79,Whitney Gardner,Freeski,Salt Lake City,Utah
80,Alex Bowen,Freestyle,Park City,Utah
81,Ashley Caldwell,Freestyle,Park City,Utah
82,Chris Lillis,Freestyle,Park City,Utah
83,Eric Loughran,Freestyle,Park City,Utah
84,Jonathon Lillis,Freestyle,Park City,Utah
85,Justin Schoenefeld,Freestyle,Park City,Utah
86,Kaila Kuhn,Freestyle,Park City,Utah
87,Madison Varmette,Freestyle,Park City,Utah
88,Megan Nick,Freestyle,Park City,Utah
89,Megan Smallhouse,Freestyle,Park City,Utah
90,Morgan Northrop,Freestyle,Park City,Utah
91,Nicholas Novak,Freestyle,Park City,Utah
92,Quinn Dehlinger,Freestyle,Park City,Utah
93,Winter Vinecki,Freestyle,Park City,Utah
94,Alex Lewis,Freestyle,Carlisle,Massachusetts
95,Avital Shimko,Freestyle,Park City,Utah
96,Bradley Wilson,Freestyle,Park City,Utah
97,Casey Andringa,Freestyle,Vail,Colorado
98,Emerson Smith,Freestyle,Park City,Utah
99,Hannah Soar,Freestyle,Killington,Vermont
100,Jaelin Kauf,Freestyle,Salt Lake City,Utah
101,Jesse Andringa,Freestyle,Park City,Utah
102,Joel Hedrick,Freestyle,Park City,Utah
103,Kai Owens,Freestyle,Vail,Colorado
104,Kenzie Radway,Freestyle,Steamboat Springs,Colorado
105,Morgan Schild,Freestyle,Pittsford,New York
106,Nessa Dziemian,Freestyle,Park City,Utah
107,Nick Page,Freestyle,Park City,Utah
108,Olivia Giaccio,Freestyle,Park City,Utah
109,Sabrina Cass,Freestyle,Park City,Utah
110,Tess Johnson,Freestyle,Vail,Colorado
111,Thomas Rowley,Freestyle,Park City,Utah
112,Erik Bjornsen,Cross Country,Anchorage,Alaska
113,Jessie Diggins,Cross Country,Afton,Minnesota
114,Rosie Brennan,Cross Country,Anchorage,Alaska
115,Sadie Maubet Bjornsen,Cross Country,Anchorage,Alaska
116,Simi Hamilton,Cross Country,Stratton Mountain,Vermont
117,Sophie Caldwell,Cross Country,Peru,Vermont
118,Caitlin Patterson,Cross Country,Craftsbury,Vermont
119,Hailey Swirbul,Cross Country,Anchorage,Alaska
120,Julia Kern,Cross Country,Waltham,Massachusetts
121,Kevin Bolger,Cross Country,Sun Valley,Idaho
122,Scott Patterson,Cross Country,Anchorage,Alaska
123,Benjamin Ogden,Cross Country,Landgrove,Vermont
124,Gus Schumacher,Cross Country,Anchorage,Alaska
125,Hannah Halvorsen,Cross Country,Truckee,California
126,Johnny Hagenbuch,Cross Country,Ketchum,Idaho
127,Kendall Kramer,Cross Country,Fairbanks,Alaska
128,Luke Jager,Cross Country,Anchorage,Alaska
129,Noel Keeffe,Cross Country,Steamboat Springs,Colorado
130,Novie McCabe,Cross Country,Winthrop,Washington
131,Zak Ketterson,Cross Country,Marquette,Michigan
132,Annika Belshaw,Ski Jumping,Steamboat,Colorado
133,Casey Larson,Ski Jumping,Barrington,Illinois
134,Decker Dean,Ski Jumping,Steamboat Springs,Colorado
135,Kevin Bickner,Ski Jumping,Wauconda,Illinois
136,Logan Sankey,Ski Jumping,Steamboat,Colorado
137,Nina Lussi,Ski Jumping,Ljubljana,Slovenia
138,Nita Englund,Ski Jumping,Florence,Wisconsin
139,Sam Macuga,Ski Jumping,Park City,Utah
140,Sarah Hendrickson,Ski Jumping,Park City,Utah
141,Tara Geraghty-Moats,Ski Jumping,West Fairlee,Vermont
142,Ben Loomis,Nordic Combined,Eau Claire,Wisconsin
143,Grant Andrews,Nordic Combined,Steamboat Springs,Colorado
144,Jared Shumate,Nordic Combined,Park City,Utah
145,Jasper Good,Nordic Combined,Steamboat Springs,Colorado
146,Stephen Schumann,Nordic Combined,Park City,Utah
147,Tara Geraghty-Moats,Nordic Combined,West Fairlee,Vermont
148,Taylor Fletcher,Nordic Combined,Park City,Utah
149,Arielle Gold,Snowboard,Breckenridge,Colorado
150,Chase Blackwell,Snowboard,Dillon,Colorado
151,Chase Josey,Snowboard,Hailey,Idaho
152,Chloe Kim,Snowboard,Torrance,California
153,Jake Pates,Snowboard,Eagle,Colorado
154,Maddie Mastro,Snowboard,Wrightwood,California
155,Ryan Wachendorfer,Snowboard,Vail,Colorado
156,Taylor Gold,Snowboard,Breckenridge,Colorado
157,Toby Miller,Snowboard,Mammoth Lakes,California
158,Chris Corning,Snowboard,Avon,Colorado 
159,Hailey Langland,Snowboard,San Clemente,California
160,Jamie Anderson,Snowboard,SoUtahh Lake Tahoe,California
161,Judd Henkes,Snowboard,La Jolla,California
162,Julia Marino,Snowboard,Westport,Connecticut
163,Kyle Mack,Snowboard,West Bloomfield,Michigan
164,Luke Winkelmann,Snowboard,Blowing Rock,North Carolina
165,Lyon Farrell,Snowboard,Haiku,Hawaii
166,Red Gerard,Snowboard,Silverthorne,Colorado
167,Ryan Stassel,Snowboard,Anchorage,Alaska
168,Sean FitzSimons,Snowboard,Hood River,Oregon
169,Jack Coyne,Snowboard,Edwards,Colorado
170,Jason Wolle,Snowboard,Winter Park,Colorado
171,Lucas Foster,Snowboard,Telluride,Colorado
172,Tessa Maud,Snowboard,Carlsbad,California
173,Addie Gardner,Snowboard,Riegelsville,Pennsylvania
174,Courtney Rummel,Snowboard,West Bend,Wisconsin
175,Dusty Henricksen,Snowboard,Mammoth Lakes,California
176,Jade Thurgood,Snowboard,Salt Lake City,Utah
177,Jake Canter,Snowboard,Evergreen,Colorado
178,Ty Schnorrbusch,Snowboard,Frisco,Colorado
179,Alex Deibold,Snowboard,Salt Lake City,Utah 
180,Faye Gulini,Snowboard,Salt Lake City,Utah
181,Hagen Kearney,Snowboard,Silverthorne,Colorado
182,Jake Vedder,Snowboard,Pinckney,Michigan
183,Lindsey Jacobellis,Snowboard,Stratton Mountain,Vermont
184,Mick Dierdorff,Snowboard,Steamboat Springs,Colorado
185,Nick Baumgartner,Snowboard,Iron River,Michigan
186,Nate Holland,Snowboard,Squaw Valley,California
187,Rosie Mancari,Snowboard,Anchorage,Alaska
188,Senna Leith,Snowboard,Vail,Colorado
189,Livia Molodyh,Snowboard,Hubbard,Oregon
190,Meghan Tierney,Snowboard,Eagle,Colorado
191,Mikey LaCroix,Snowboard,Shrewsbury,Massachusetts
192,Stacy Gaskill,Snowboard,Golden,Colorado
193,"Aaron ""AJ"" Muss",Snowboard,Rumson,New Jersey